ni-string,Time,Robot,Reward
0.0,11550,0,856
0.0,11277,1,838
0.0,15643,2,1153
0.0,11296,3,833
0.2,29991,0,2221
0.2,29990,1,2224
0.2,29991,2,2212
0.2,29997,3,2778
0.5,29980,0,2218
0.5,29984,1,2222
0.5,29989,2,2210
0.5,29988,3,3800
0.8,29980,0,2218
0.8,29981,1,2222
0.8,29994,2,2750
0.8,29994,3,3800
1.0,29986,0,2218
1.0,29987,1,2222
1.0,29991,2,3799
1.0,29979,3,3800
1.2,29989,0,2218
1.2,29975,1,2774
1.2,29992,2,3797
1.2,29993,3,3803
1.5,11553,0,856
1.5,8088,1,838
1.5,10447,2,1153
1.5,8087,3,833
1.8,9872,0,856
1.8,8088,1,838
1.8,10447,2,1153
1.8,8087,3,833
2.0,8243,0,856
2.0,8088,1,838
2.0,10447,2,1153
2.0,8087,3,833
