ni-string,Time,Robot,Reward
0.0,11550,0,856
0.0,11277,1,838
0.0,15643,2,1160
0.0,11296,3,833
0.1,13593,0,995
0.1,14557,1,1091
0.1,13615,2,1014
0.1,20378,3,1778
0.2,29986,0,2230
0.2,29987,1,2242
0.2,29989,2,2245
0.2,29997,3,3044
0.4,29986,0,2230
0.4,29987,1,2242
0.4,29999,2,2622
0.4,29994,3,3044
0.5,29987,0,2228
0.5,29980,1,2240
0.5,29994,2,3063
0.5,29992,3,3054
0.6,29990,0,2228
0.6,29994,1,2604
0.6,30000,2,3061
0.6,29997,3,3055
0.8,11553,0,856
0.8,8088,1,838
0.8,10447,2,1153
0.8,8087,3,833
0.9,9877,0,856
0.9,8088,1,838
0.9,10447,2,1153
0.9,8087,3,833
1.0,8243,0,856
1.0,8088,1,838
1.0,10447,2,1153
1.0,8087,3,833
