ni-string,Time,Robot,Reward
0.0,11550,0,856
0.0,11277,1,838
0.0,15643,2,1160
0.0,11296,3,833
0.2,13593,0,995
0.2,14557,1,1091
0.2,13615,2,1014
0.2,20378,3,1778
0.8,29986,0,2230
0.8,29987,1,2242
0.8,29989,2,2245
0.8,29997,3,3044
0.2,29994,0,2232
0.2,29966,1,2243
0.2,29966,2,2616
0.2,29989,3,2658
0.7,29986,0,2230
0.7,29987,1,2242
0.7,29999,2,2622
0.7,29994,3,3044
1.0,29987,0,2228
1.0,29980,1,2240
1.0,29994,2,3063
1.0,29992,3,3054
0.5,29989,0,2229
0.5,29989,1,2615
0.5,29993,2,2639
0.5,29992,3,3051
